,Mean Max Temp (°„C),Mean Min Temp (°„C),Mean Temp (°„C),Total Rain (mm),Total Snow (cm),Total Precip (mm),Snow Grnd Last Day (cm)
0,2.642282814,-2.09355158,0.288266888,53.67039081,21.51240013,67.90514081,13.60162574
1,2.530005131,-2.494227493,0.227561729,51.21251855,19.60179058,65.5475037,12.10136938
2,2.96547978,-2.238806205,-0.032385123,50.07576039,18.8970116,69.06751713,9.372918031
3,3.176603899,-2.413093124,0.649206971,50.12446111,20.70374451,65.92583049,11.91886423
4,3.460743838,-2.507508682,0.683272098,49.96433619,20.14282634,66.28070594,11.13600687
5,2.849340184,-2.338498481,0.806040613,50.18181711,19.99761581,69.79305959,12.89031645
6,3.011752192,-2.010614209,0.839705256,51.46648187,18.67763969,68.51119305,11.0799649
7,2.861254814,-2.069056996,0.664379072,49.58983041,20.88428918,67.4669548,12.56466031
8,2.579274815,-2.516481989,0.615791821,50.62298286,21.54924946,69.31808713,11.51996679
9,3.262480862,-2.987051717,0.375679578,50.11701424,21.75507629,65.20222795,13.52290223
10,2.79089837,-2.693507606,0.597617629,53.58904956,21.31312868,65.25480774,10.80250643
11,2.676679063,-2.16404416,0.594385807,52.13971094,21.80856535,68.28167364,12.63716904
12,3.11258443,-2.140194502,0.235571691,50.83976154,19.7013465,66.77046947,13.9601177
13,2.651526176,-2.806730655,0.233851097,51.06045892,22.6139079,69.07157583,12.41025347
14,2.534845855,-2.73826933,0.359447481,51.49107002,21.56987254,65.63792933,14.26305604
15,2.94407626,-2.574156018,0.402094434,50.34300925,20.54353879,70.09138116,10.98663361
16,2.915730594,-2.199267869,0.13133993,50.21588814,18.05473713,66.06571793,12.49264649
17,3.138225654,-2.09478764,0.673543553,50.17573566,22.71154452,68.49462154,11.76368204
18,3.420156353,-2.893791567,0.137748455,51.41542207,19.56145147,68.47191875,13.87450924
19,3.445575791,-2.0192135,0.830122294,53.69124602,22.28873211,65.26918502,10.72376338
20,3.411138556,-2.85146421,0.503245705,50.48249331,20.32689302,67.4709029,10.87445947
21,3.287579871,-2.493706549,0.547781364,54.16366666,21.17523227,66.56061664,14.19640201
22,2.930175807,-2.859736843,0.246049277,52.33794809,21.95112362,66.44829846,12.58111377
23,3.065205575,-2.431348375,-0.094183649,53.21241141,20.16713705,65.7025138,13.69076338
24,3.062894716,-2.105833728,0.086581001,52.66816117,17.81758498,68.95374952,9.989904738
25,2.650892237,-2.410544785,0.242447035,52.5513788,21.70313509,66.515752,12.9451576
26,2.739283713,-2.707808651,0.761612478,50.18672437,21.62534576,69.38239166,9.462287462
27,3.31748438,-2.433807218,0.410723717,51.54251156,21.91642209,65.42369209,12.76306113
28,2.621087446,-2.388701321,0.203761046,54.10223741,21.61213245,67.6710736,12.18058304
29,3.292581227,-2.434562667,0.441000039,49.605854,17.98301481,67.03828429,11.82000435
30,3.843452381,-1.40327381,1.211607143,41.38630952,19.46428571,60.93928571,9.451370851
31,3.51577381,-1.569940476,0.977380952,51.93452381,22.24047619,74.06190476,13.81547619
32,3.267559524,-2.004464286,0.632440476,47.44285714,19.85,67.1,11.55952381
33,3.4375,-1.733035714,0.85327381,58.9125,18.64404762,77.41488095,11.16666667
34,3.588392857,-1.545238095,1.025892857,49.45714286,18.00595238,67.22261905,11.65952381
35,3.180952381,-1.89047619,0.653571429,43.59166667,17.7297619,61.03571429,11.53690476
36,3.301785714,-1.885714286,0.711904762,48.83333333,16.67857143,65.13809524,8.630952381
37,3.358333333,-1.87202381,0.745833333,51.15714286,15.92261905,66.82261905,9.297619048
38,3.267857143,-1.844047619,0.710119048,44.12738095,15.94285714,59.43809524,7.339285714
39,2.880952381,-2.169642857,0.357738095,55.03452381,14.05238095,68.54166667,6.011904762
40,3.444047619,-1.793849206,0.826190476,39.48412698,19.30753968,57.9952381,9.688492063
41,4.0125,-1.019246032,1.5,55.21230159,10.99126984,65.74642857,6.333333333
42,4.083928571,-1.105952381,1.492857143,50.83452381,14.03571429,64.51071429,6.174603175
43,3.528571429,-1.650595238,0.939880952,48.00952381,13.83809524,61.63214286,9.178571429
44,4.117261905,-1.363095238,1.375595238,33.54404762,14.80238095,48.63571429,12.86904762
45,3.463690476,-1.767261905,0.863690476,48.02619048,15.28928571,64.50238095,7.023809524
46,3.675595238,-1.675595238,1.010119048,44.86964286,14.65595238,59.84821429,6.994047619
47,3.39375,-1.792857143,0.80327381,44.64166667,15.14404762,59.9452381,9.526190476
48,3.8375,-1.220833333,1.304166667,52.37619048,13.40595238,65.84761905,9.479761905
49,4.066666667,-0.907738095,1.580654762,49.14404762,17.41428571,61.43809524,6.589285714
